liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.181520223617554,22.1294,22.9723,0.8429000000000002,-2.8021217712176854,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,36.1,66.0,0,6.0,0.0,0,True,False,0.8672,54.140024185180664,22.9723,23.7265,0.7542000000000009,-13.030442804427942,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,65.5,64.2,0,5.1,5.2,0,True,False,0.8672,46.26726961135864,23.7265,24.5909,0.8643999999999998,-0.3228782287823035,within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,57.0,65.1,0,3.6,5.3,0,True,False,0.8672,47.09313607215881,25.2717,26.13,0.8582999999999998,-1.0262915129151442,within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,45.6,64.3,0,5.9,5.8,0,True,False,0.8672,54.667372941970825,26.13,27.0081,0.8780999999999999,1.2569188191881815,within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,27.6,35.6,0,4.1,5.5,0,True,False,0.8672,79.77851486206055,27.0081,27.8968,0.8887,2.479243542435433,Excess aspiration,
Viscosity_std_398.4,p1000,1000.0,35.2,10.6,0,4.3,2.6,0,True,False,0.8672,136.2975685596466,27.8968,28.7775,0.8807000000000009,1.5567343173432837,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.7,65.7,0,5.8,5.1,0,True,False,0.8672,46.503111600875854,28.7775,29.6421,0.8645999999999994,-0.29981549815505093,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,45.2,65.7,0,5.5,5.9,0,True,False,0.8672,54.10058331489563,29.6421,30.5128,0.8706999999999994,0.4035977859777898,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,62.8,65.0,0,5.9,4.4,0,True,False,0.8672,46.9509813785553,30.5128,31.3759,0.8631000000000029,-0.4727859778594449,Within tolerance of 1000uL,
