liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1632,-3.540129151291507,0.8365,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,42.971026735907245,66.0,0.0,6.0,0.0,0.0,1.0,0.0,49.63,-10.96632841328413,0.7721,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,51.09281187923808,65.46212358696843,0.0,5.8061317560824826,4.779732278465016,0.0,1.0,0.0,50.503,-0.1614391143911389,0.8658,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.09235309744157,65.29119684037246,0.0,5.895301969944651,5.7497845410996415,0.0,1.0,0.0,51.2034,1.5221402214022128,0.8804,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,38.25204832260153,19.58657376415171,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,91.013,0.7380073800738092,0.8736,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,38.25204832260153,19.58657376415171,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,91.0729,0.6572878228782333,0.8729,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.93735941453649,62.571673594551946,0.0,5.944239239960572,4.720868499769852,0.0,1.0,0.0,46.9105,-0.7034132841328408,0.8611,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,38.25204832260153,19.58657376415171,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,91.123,0.5996309963099611,0.8724,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.98459908527417,60.87764475644784,0.0,5.791707698459233,4.50994096504849,0.0,1.0,0.0,47.16,0.1729704797048036,0.8687,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.46342228441563,36.768571033404086,0.0,0.286369506952654,5.989423408624711,0.0,1.0,0.0,58.0548,-5.442804428044283,0.82,0.8672,1.0
