liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1815,-2.802121771217711,0.8429,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,36.080759044266586,66.0,0.0,6.0,0.0,0.0,1.0,0.0,54.14,-13.030442804428043,0.7542,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.4565192941148,64.20819788996671,0.0,5.107754718130204,5.232139209312987,0.0,1.0,0.0,46.2673,-0.3228782287822906,0.8644,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,57.00697776872621,65.12364051164819,0.0,3.589820289179229,5.306498596369613,0.0,1.0,0.0,47.0931,-1.026291512915131,0.8583,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,45.62584266753963,64.2634005182317,0.0,5.924873355923609,5.795723662003294,0.0,1.0,0.0,54.6674,1.2569188191881944,0.8781,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.640219967445,35.58718157259364,0.0,4.099577480538599,5.500192042460534,0.0,1.0,0.0,79.7785,2.479243542435433,0.8887,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,35.2141447935242,10.565452316096852,0.0,4.273981088332576,2.5671809450269176,0.0,1.0,0.0,136.2976,1.5567343173431814,0.8807,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.69543704384137,65.71380505225164,0.0,5.79427274916686,5.060703706223499,0.0,1.0,0.0,46.5031,-0.2998154981549741,0.8646,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,45.167747231158685,65.66262352394295,0.0,5.498171323542176,5.8985343299320085,0.0,1.0,0.0,54.1006,0.4035977859778665,0.8707,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,62.774830577229295,65.00072574629385,0.0,5.8800102780350745,4.369917763281472,0.0,1.0,0.0,46.951,-0.4727859778597777,0.8631,0.8672,1.0
