liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,51.69147440303796,54.53835384103704,0.0,5.785191579994345,1.0164524988375114,0.0,1.0,0.0,49.6339,-5.454335793357934,0.8199,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.2215,-2.0756457564575665,0.8492,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.2421,-2.029520295202946,0.8496,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,49.24496558631394,37.935281477407095,0.0,5.908611980133011,4.497010718564314,0.0,1.0,0.0,62.4308,1.891143911439124,0.8836,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.69042342360767,23.98565610405777,0.0,4.830258219677818,5.910731049516544,0.0,1.0,0.0,76.7908,2.0410516605166107,0.8849,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,48.20640207167494,66.0,0.0,0.0,6.0,0.0,1.0,0.0,41.2721,-19.095940959409592,0.7016,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.72255638479871,37.33516640989176,0.0,5.096601244360011,1.3738482775920469,0.0,1.0,0.0,57.4927,-2.8713099630996224,0.8423,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.48620073973568,64.80335407082552,0.0,5.700157509143487,5.304863242092915,0.0,1.0,0.0,50.7137,-0.1614391143911389,0.8658,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,50.530683078005495,18.00778972223663,0.0,5.339665466279712,5.982885129068058,0.0,1.0,0.0,92.8466,2.802121771217711,0.8915,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,51.68072259883872,65.86941218559173,0.0,5.65998785519284,5.976413641139219,0.0,1.0,0.0,51.6108,0.2998154981549869,0.8698,0.8672,1.0
