liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,50.50426191851338,51.68782847784508,0.0,1.6122042072828884,2.7128121301375785,0.0,1.0,0.0,48.5949,-5.86946494464944,0.8163,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,39.7286469567141,0.0,6.0,0.0,0.0,1.0,0.0,51.3977,-6.457564575645749,0.8112,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,46.67519551393694,66.0,0.0,2.751445437256004,5.94316543241193,0.0,1.0,0.0,50.4906,-0.9340405904059036,0.8591,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,63.17067017715333,63.41382119368612,0.0,5.967832831596504,5.998911674706847,0.0,1.0,0.0,48.6609,0.449723247232474,0.8711,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.85761289800303,63.52369322418959,0.0,5.6482597444499305,5.921366424954603,0.0,1.0,0.0,47.551,-0.3344095940959425,0.8643,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.7623487715482,62.96881519371338,0.0,5.922871075025075,5.909830669001992,0.0,1.0,0.0,47.9622,0.0807195571955758,0.8679,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,64.8221249320957,62.57616478078247,0.0,5.626224534706941,5.927658448258951,0.0,1.0,0.0,48.0499,0.8071955719557202,0.8742,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,64.8221249320957,62.57616478078247,0.0,5.626224534706941,5.927658448258951,0.0,1.0,0.0,48.0593,0.4843173431734296,0.8714,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.85761289800303,63.52369322418959,0.0,5.6482597444499305,5.921366424954603,0.0,1.0,0.0,47.6481,-0.2190959409594111,0.8653,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,63.1648,-0.5880996309963092,0.8621,0.8672,1.0
