liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,62.7458,-0.3920664206642018,0.8638,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.38584365926687,40.6252526329067,0.0,5.220635146516815,2.5809006583083365,0.0,1.0,0.0,52.5639,0.5996309963099611,0.8724,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1454,-2.2486162361623574,0.8477,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.188,-2.1678966789667813,0.8484,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1849,-2.0641143911439017,0.8493,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.98456714932293,39.1729812988802,0.0,5.927909457349704,0.8725356509830464,0.0,1.0,0.0,52.7683,-2.363929889298889,0.8467,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.2716,-1.9372693726937185,0.8504,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.92359520865318,51.80802727647325,0.0,5.564423095439844,4.84534989981276,0.0,1.0,0.0,50.039,1.914206642066428,0.8838,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,50.434807597181454,60.72431101298862,0.0,5.695700259324069,4.844788508712041,0.0,1.0,0.0,52.0626,1.71817343173432,0.8821,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.49766214034517,65.23559354581079,0.0,3.638163311866154,5.789891835576832,0.0,1.0,0.0,45.2409,0.6342250922509295,0.8727,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,,-0.842245374817765,,0.8672,1.0
