liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,62.7307,-0.8533210332103278,0.8598,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,62.7759,-0.8994464944649352,0.8594,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,62.8238,-0.8994464944649352,0.8594,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,41.740558457538896,0.0,0.0,2.971004927710146,0.0,1.0,0.0,47.2,-11.18542435424354,0.7702,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,62.8638,-0.611162361623613,0.8619,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,58.34226990473615,48.96299028222544,0.0,0.0,4.048424294482734,0.0,1.0,0.0,49.669,-2.663745387453876,0.8441,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,57.59168033157837,50.00592690943162,0.0,0.0,5.417063707815576,0.0,1.0,0.0,47.9274,-7.898985239852399,0.7987,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,58.067334083875984,62.96903059116213,0.0,0.0,5.350799618971223,0.0,1.0,0.0,43.5745,-8.590867158671587,0.7927,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,63.0186,-0.1153136531365314,0.8662,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,63.70868486662776,56.99094900929976,0.0,5.899983153496446,2.742920994214699,0.0,1.0,0.0,47.1268,-1.2569188191881944,0.8563,0.8672,1.0
