liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,51.69147440303796,54.53835384103704,0.0,5.785191579994345,1.0164524988375114,0.0,1.0,0.0,49.6113,-5.419741697416967,0.8202,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.2408,-2.179428044280433,0.8483,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,49.47629842085766,55.114680855903245,0.0,5.879520898852469,5.200500416339315,0.0,1.0,0.0,54.7557,1.971863468634687,0.8843,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,54.22216117163229,54.89418016983061,0.0,4.273616230090664,5.573985424989878,0.0,1.0,0.0,51.8306,1.868081180811808,0.8834,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,50.19131233881752,60.25313550499409,0.0,4.934802334902219,5.357098865752552,0.0,1.0,0.0,51.9664,0.7149446494464926,0.8734,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.67649854192833,35.78152793661652,0.0,3.4394429374312265,5.976750475994907,0.0,1.0,0.0,61.7604,1.0032287822878276,0.8759,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,51.32454778097207,5.5,0.0,5.820913459868629,4.436025366120655,0.0,1.0,0.0,218.2354,4.255073800738013,0.9041,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,50.96054793117869,34.12122858000458,0.0,0.6865269638410372,5.742204938284754,0.0,1.0,0.0,61.0468,-3.6439114391143854,0.8356,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,45.77797538106037,33.96395330459449,0.0,5.718708959531609,5.559639230195471,0.0,1.0,0.0,68.2012,2.721402214022148,0.8908,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,29.294221927198286,0.0,6.0,6.0,0.0,1.0,0.0,66.7667,1.8680811808118076,0.8834,0.8672,1.0
