liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.3335931301117,22.1527,23.0045,0.8518000000000008,-2.495421245421161,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.3827714920044,23.0045,23.8521,0.8475999999999999,-2.9761904761904914,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.39954614639282,23.8521,24.6929,0.8408000000000015,-3.7545787545785823,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.48157691955566,24.6929,25.5294,0.8364999999999974,-4.24679487179518,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.35722374916077,22.0154,22.8607,0.8453000000000017,-3.2394688644686727,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.40302157402039,22.8607,23.7117,0.8509999999999991,-2.586996336996446,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.42042207717896,23.7117,24.5621,0.8504000000000005,-2.6556776556776045,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.48645877838135,24.5621,25.4115,0.8493999999999993,-2.770146520146609,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.47618317604065,25.4115,26.2586,0.8471000000000011,-3.03342490842479,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.52097582817078,26.2586,27.1058,0.8471999999999973,-3.021978021978337,Incomplete aspiration,
