liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,22.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,149.3391342,-16.01419414,0.7337,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,20.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,153.9962201,-12.87774725,0.7611,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,165.906338,-11.13782051,0.7763,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,191.6476669,-16.90705128,0.7259,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,14.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,200.8774972,-9.603937729,0.7897,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,13.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,206.2330053,-8.161630037,0.8023,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,219.5589845,-6.181318681,0.8196,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,244.0876746,-4.532967033,0.834,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,128.8894331,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,129.6728332,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,145.1909773,-6.181318681,0.4098,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,130.4895842,-11.85897436,0.385,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,181.3435276,-4.326923077,0.4179,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3391,-4.922161172161176,0.8306,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3554,-3.85760073260074,0.8399,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3971,-3.983516483516489,0.8388,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2263,-7.955586080586081,0.8041,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2587,-7.88690476190477,0.8047,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2813,-8.493589743589748,0.7994,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.115,-8.070054945054945,0.8031,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.146,-7.646520146520156,0.8068,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.1803,-7.200091575091583,0.8107,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2032,-7.211538461538468,0.8106,0.8736,1.0
