liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,TRUE,FALSE,0.8672,51.16320753097530,21.1877,22.0242,0.8365000000000010,-3.5401291512914000,incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,43.0,66.0,0,6.0,0.0,0,TRUE,FALSE,0.8672,49.63000178337100,22.0242,22.7963,0.7720999999999980,-10.966328413284300,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,51.1,65.5,0,5.8,4.8,0,TRUE,FALSE,0.8672,50.503010272979700,22.7963,23.6621,0.8658000000000000,-0.16143911439112600,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.1,65.3,0,5.9,5.7,0,TRUE,FALSE,0.8672,51.20343780517580,23.6621,24.5425,0.8804000000000020,1.522140221402410,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,38.3,19.6,0,2.6,4.5,0,TRUE,FALSE,0.8672,91.0130455493927,24.5425,25.4161,0.8736000000000000,0.7380073800737710,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,38.3,19.6,0,2.6,4.5,0,TRUE,FALSE,0.8672,91.07291316986080,25.4161,26.289,0.8729000000000010,0.6572878228783870,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.9,62.6,0,5.9,4.7,0,TRUE,FALSE,0.8672,46.910518169403100,26.289,27.1501,0.8610999999999970,-0.7034132841331990,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,38.3,19.6,0,2.6,4.5,0,TRUE,FALSE,0.8672,91.123,27.1501,28.0225,0.8724,0.5996309963099610,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.9,60.9,0,5.8,4.5,0,TRUE,FALSE,0.8672,47.16,28.0225,28.8912,0.8687,0.1729704797048040,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,36.8,0,0.3,6.0,0,TRUE,FALSE,0.8672,58.0548,28.8912,29.7112,0.82,-5.442804428044280,incomplete dispense,
