liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,51.6914744,54.53835384,0,5.78519158,1.016452499,0,1,0,49.6339,-5.454335793,0.8199,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,52.27082876,47.45089624,0,3.070580252,2.785608334,0,1,0,51.2215,-2.075645756,0.8492,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,52.27082876,47.45089624,0,3.070580252,2.785608334,0,1,0,51.2421,-2.029520295,0.8496,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,49.24496559,37.93528148,0,5.90861198,4.497010719,0,1,0,62.4308,1.891143911,0.8836,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,53.69042342,23.9856561,0,4.83025822,5.91073105,0,1,0,76.7908,2.041051661,0.8849,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,48.20640207,66,0,0,6,0,1,0,41.2721,-19.09594096,0.7016,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,53.72255638,37.33516641,0,5.096601244,1.373848278,0,1,0,57.4927,-2.871309963,0.8423,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,52.48620074,64.80335407,0,5.700157509,5.304863242,0,1,0,50.7137,-0.161439114,0.8658,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,50.53068308,18.00778972,0,5.339665466,5.982885129,0,1,0,92.8466,2.802121771,0.8915,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,51.6807226,65.86941219,0,5.659987855,5.976413641,0,1,0,51.6108,0.299815498,0.8698,0.8672,1
