liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.0615,-2.571494464944648,0.8449,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,49.73370288270726,64.39313250849887,0.0,5.745482205665107,0.2862501368348543,0.0,1.0,0.0,46.7381,-9.455719557195568,0.7852,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1686,-2.3869926199261924,0.8465,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.83500034151219,6.938960057311353,0.0,5.28374998595633,5.81952117044257,0.0,1.0,0.0,185.0774,2.3639298892989014,0.8877,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,49.29580810312997,6.057443377044691,0.0,0.1229379248677766,5.957604226075596,0.0,1.0,0.0,200.5638,-5.039206642066416,0.8235,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,41.6376244821613,64.6846445855841,0.0,5.6393449861217695,5.87140484107179,0.0,1.0,0.0,56.2286,1.3261070110701183,0.8787,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.92011537756633,6.033051151081807,0.0,5.762381625577523,4.982906641919215,0.0,1.0,0.0,200.1612,2.052583025830262,0.885,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,31.55907847400366,19.68802894852832,0.0,5.927971719100005,4.59597570115797,0.0,1.0,0.0,98.6849,1.6720479704797129,0.8817,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.640219967445,35.58718157259364,0.0,4.099577480538599,5.500192042460534,0.0,1.0,0.0,79.7485,-0.1153136531365314,0.8662,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.640219967445,35.58718157259364,0.0,4.099577480538599,5.500192042460534,0.0,1.0,0.0,79.7877,-0.1614391143911389,0.8658,0.8672,1.0
