liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_for_1000
Viscosity_std_1275,rLine1000,1000.0,28.915134062499387,28.915134062499387,False,10,10,0,0.8736,132.7739336490631,0.7886339910142437,-9.725962567050864,Incomplete aspiration and dispense,Blowout before,1.0,89.1679310798645
Viscosity_std_1275,rLine1000,500.0,28.915134062499387,28.915134062499387,False,10,10,0,0.8736,97.98005437850952,0.3655754152681181,-16.305994673049888,Incomplete aspiration and dispense,Blowout before,1.0,89.1679310798645
Viscosity_std_1275,rLine1000,300.0,28.915134062499387,28.915134062499387,False,10,10,0,0.8736,84.26466965675354,0.202553463575356,-22.713116767644973,Incomplete aspiration and dispense,Blowout before,1.0,89.1679310798645
Viscosity_std_1275,rLine1000,1000.0,36.14391757812423,36.14391757812423,False,10,10,0,0.8736,119.59348630905151,0.6128914311852837,-29.8430138295234,Incomplete aspiration and dispense,Blowout before,2.0,75.3343448638916
Viscosity_std_1275,rLine1000,500.0,36.14391757812423,36.14391757812423,False,10,10,0,0.8736,91.49874901771544,0.3697573334068222,-15.348595831771464,Incomplete aspiration and dispense,Blowout before,2.0,75.3343448638916
Viscosity_std_1275,rLine1000,300.0,36.14391757812423,36.14391757812423,False,10,10,0,0.8736,80.36631631851196,0.2003095075009294,-23.569327113503736,Incomplete aspiration and dispense,Blowout before,2.0,75.3343448638916
Viscosity_std_1275,rLine1000,1000.0,2.8915134,36.1439175,False,10,10,0,0.8736,436.8067569732666,0.7467856673405205,-14.516292657907451,Incomplete aspiration and dispense,Blowout before,3.0,393.5068286385946
Viscosity_std_1275,rLine1000,500.0,2.8915134,36.1439175,False,10,10,0,0.8736,250.1002447605133,0.3838476290170208,-12.12279555471136,Incomplete aspiration and dispense,Blowout before,3.0,393.5068286385946
Viscosity_std_1275,rLine1000,300.0,2.8915134,36.1439175,False,10,10,0,0.8736,175.5484127998352,0.2322057402731368,-11.398908625939862,Incomplete aspiration and dispense,Blowout before,3.0,393.5068286385946
Viscosity_std_1275,rLine1000,1000.0,36.1439175,2.8915134,False,10,10,0,0.8736,437.1205279827118,0.7613568106809532,-12.848350425715072,Incomplete aspiration,Blowout before,4.0,393.5068286385946
Viscosity_std_1275,rLine1000,500.0,36.1439175,2.8915134,False,10,10,0,0.8736,250.100664138794,0.3604026593822644,-17.490233657906494,Incomplete aspiration,Blowout before,4.0,393.5068286385946
Viscosity_std_1275,rLine1000,300.0,36.1439175,2.8915134,False,10,10,0,0.8736,175.55828189849854,0.2059776822603578,-21.40656201909424,Incomplete aspiration,Blowout before,4.0,393.5068286385946
Viscosity_std_1275,rLine1000,1000.0,2.8915134,2.8915134,False,10,10,0,0.8736,755.1872243881226,0.8388607221087151,-3.976565692683717,Complete Transfer,Blowout before,5.0,711.6793122936937
Viscosity_std_1275,rLine1000,500.0,2.8915134,2.8915134,False,10,10,0,0.8736,409.1351506710053,0.4289744599423411,-1.7915613685116525,Complete Transfer,Blowout before,5.0,711.6793122936937
Viscosity_std_1275,rLine1000,300.0,2.8915134,2.8915134,False,10,10,0,0.8736,270.8316390514374,0.2535670364102112,-3.248230917959712,Complete Transfer,Blowout before,5.0,711.6793122936937
Viscosity_std_1275,rLine1000,1000.0,3.0,3.0,False,10,10,0,0.8736,730.0595734119415,0.8448786043083142,-3.287705550788216,Complete Transfer,Blowout before,6.0,686.6666666666666
Viscosity_std_1275,rLine1000,500.0,3.0,3.0,False,10,10,0,0.8736,396.8445613384247,0.4282750450620005,-1.9516838228020923,Complete Transfer,Blowout before,6.0,686.6666666666666
Viscosity_std_1275,rLine1000,300.0,3.0,3.0,False,10,10,0,0.8736,263.50394439697266,0.2487877013945494,-5.071847758490018,Complete Transfer,Blowout before,6.0,686.6666666666666
Viscosity_std_1275,rLine1000,1000.0,5.0,3.0,False,10,10,0,0.8736,596.4849019050598,0.8261255428291772,-5.434347203619836,Complete Transfer,Blowout before,7.0,553.3333333333333
Viscosity_std_1275,rLine1000,500.0,5.0,3.0,False,10,10,0,0.8736,330.09241676330566,0.4167346995363776,-4.593704318594865,Complete Transfer,Blowout before,7.0,553.3333333333333
Viscosity_std_1275,rLine1000,300.0,5.0,3.0,False,10,10,0,0.8736,224.25560808181763,0.2386607567729485,-8.935913929735765,Complete Transfer,Blowout before,7.0,553.3333333333333
Viscosity_std_1275,rLine1000,1000.0,4.0,3.0,False,10,10,0,0.8736,1050.8703844547272,0.8536067191692334,-2.2886081537049767,Complete Transfer,Blowout before,8.0,603.3333333333333
Viscosity_std_1275,rLine1000,500.0,4.0,3.0,False,10,10,0,0.8736,355.05022621154785,0.4203337719414644,-3.769740855891848,Complete Transfer,Blowout before,8.0,603.3333333333333
Viscosity_std_1275,rLine1000,300.0,4.0,3.0,False,10,10,0,0.8736,238.70332551002505,0.2504050983053374,-4.454709132578838,Complete Transfer,Blowout before,8.0,603.3333333333333
Viscosity_std_1275,rLine1000,1000.0,4.0,2.5,False,10,10,0,0.8736,714.9500024318695,0.852047606831807,-2.467077972549568,Complete Transfer,Blowout before,9.0,670.0
Viscosity_std_1275,rLine1000,500.0,4.0,2.5,False,10,10,0,0.8736,388.40893387794495,0.420217202794741,-3.796427931606904,Complete Transfer,Blowout before,9.0,670.0
Viscosity_std_1275,rLine1000,300.0,4.0,2.5,False,10,10,0,0.8736,258.5037887096405,0.255679852194574,-2.4420588390666857,Complete Transfer,Blowout before,9.0,670.0
Viscosity_std_1275,rLine1000,1000.0,3.5,3.0,False,10,10,0,0.8736,682.4568452835083,0.8666041790288993,-0.8008036825893705,Complete Transfer,Blowout before,,
Viscosity_std_1275,rLine1000,500.0,3.5,3.0,False,10,10,0,0.8736,373.0687448978424,0.4303004339863205,-1.487995882252636,Complete Transfer,Blowout before,,
Viscosity_std_1275,rLine1000,300.0,3.5,3.0,False,10,10,0,0.8736,249.21000695228577,0.24319238235182314,-7.206813815696311,Complete Transfer,Blowout before,,
