liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_for_1000
Viscosity_std_398,rLine1000,1000.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,74.08213663101196,0.7648538850826572,-11.801904395450046,Incomplete dispense,Blowout before,1,31.03048181533814
Viscosity_std_398,rLine1000,500.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,68.6779432296753,0.3730941252317815,-13.954306911489509,Incomplete dispense,Blowout before,1,31.03048181533814
Viscosity_std_398,rLine1000,300.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,66.58109188079834,0.2193394207035347,-15.690567072749554,Incomplete dispense,Blowout before,1,31.03048181533814
Viscosity_std_398,rLine1000,1000.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,72.29193234443665,0.6926830121174937,-20.12419140711557,Incomplete dispense,Blowout before,2,28.82438545227051
Viscosity_std_398,rLine1000,500.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,67.76480865478516,0.3678339424858852,-15.1674486886796,Incomplete dispense,Blowout before,2,28.82438545227051
Viscosity_std_398,rLine1000,300.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,66.34731125831604,0.216993466625725,-16.592302188758822,Incomplete dispense,Blowout before,2,28.82438545227051
Viscosity_std_398,rLine1000,1000.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,128.4724202156067,0.7245355314596796,-16.45116104016609,Incomplete dispense,Blowout before,3,79.56460180282595
Viscosity_std_398,rLine1000,500.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,93.1635241508484,0.3624717617366059,-16.404113990635167,Incomplete dispense,Blowout before,3,79.56460180282595
Viscosity_std_398,rLine1000,300.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,81.27132654190063,0.2156092080083839,-17.124381915596572,Incomplete dispense,Blowout before,3,79.56460180282595
Viscosity_std_398,rLine1000,1000.0,226.6446775,18.1315742,False,10,10,0,0.8672,123.36037254333496,0.8511296248013597,-1.853133671429924,Complete Transfer,Blowout before,4,79.5646019527637
Viscosity_std_398,rLine1000,500.0,226.6446775,18.1315742,False,10,10,0,0.8672,93.03552675247192,0.4233791408996149,-2.3572092021183257,Complete Transfer,Blowout before,4,79.5646019527637
Viscosity_std_398,rLine1000,300.0,226.6446775,18.1315742,False,10,10,0,0.8672,81.34816098213196,0.2463688916000375,-5.301010301338569,Complete Transfer,Blowout before,4,79.5646019527637
Viscosity_std_398,rLine1000,1000.0,18.1315742,18.1315742,False,10,10,0,0.8672,173.61240339279175,0.8408423976030139,-3.0393914203166554,Complete Transfer,Blowout before,5,130.30481843104388
Viscosity_std_398,rLine1000,500.0,18.1315742,18.1315742,False,10,10,0,0.8672,118.57151913642883,0.4295718768192988,-0.9289951985011926,Complete Transfer,Blowout before,5,130.30481843104388
Viscosity_std_398,rLine1000,300.0,18.1315742,18.1315742,False,10,10,0,0.8672,96.63664174079896,0.2464854607467609,-5.256203587499604,Complete Transfer,Blowout before,5,130.30481843104388
Viscosity_std_398,rLine1000,1000.0,200.0,20.0,False,10,10,0,0.8672,118.58426809310912,0.8394435678423326,-3.200695590136914,Complete Transfer,Blowout before,6,75.0
Viscosity_std_398,rLine1000,500.0,200.0,20.0,False,10,10,0,0.8672,92.44802045822144,0.424428263220126,-2.1152529473878987,Complete Transfer,Blowout before,6,75.0
Viscosity_std_398,rLine1000,300.0,200.0,20.0,False,10,10,0,0.8672,79.91541051864624,0.2417935525911415,-7.0596738195181326,Complete Transfer,Blowout before,6,75.0
Viscosity_std_398,rLine1000,1000.0,150.0,15.0,False,10,10,0,0.8672,136.76318621635437,0.8377678863581828,-3.393924543567481,Complete Transfer,Blowout before,7,93.33333333333334
Viscosity_std_398,rLine1000,500.0,150.0,15.0,False,10,10,0,0.8672,100.13534784317017,0.4232334294662105,-2.3908142374975605,Complete Transfer,Blowout before,7,93.33333333333334
Viscosity_std_398,rLine1000,1000.0,150.0,10.0,False,10,10,0,0.8672,169.83694195747375,0.8603094451058324,-0.7945750569842674,Complete Transfer,Blowout before,8,126.66666666666669
Viscosity_std_398,rLine1000,500.0,150.0,10.0,False,10,10,0,0.8672,116.76025867462158,0.4271822093114679,-1.4801177787204898,Complete Transfer,Blowout before,8,126.66666666666669
Viscosity_std_398,rLine1000,300.0,150.0,10.0,False,10,10,0,0.8672,97.06784677505492,0.2398264482401828,-7.815787115550876,Complete Transfer,Blowout before,8,126.66666666666669
Viscosity_std_398,rLine1000,1000.0,100.0,10.0,False,10,10,0,0.8672,173.3924834728241,0.8543789897662762,-1.478437526951537,Complete Transfer,Blowout before,9,130.0
Viscosity_std_398,rLine1000,500.0,100.0,10.0,False,10,10,0,0.8672,118.61811709403992,0.4185852347406126,-3.462814866094877,Complete Transfer,Blowout before,9,130.0
Viscosity_std_398,rLine1000,300.0,100.0,10.0,False,10,10,0,0.8672,97.8249249458313,0.2478551482207615,-4.729724699891749,Complete Transfer,Blowout before,9,130.0
Viscosity_std_398,rLine1000,1000.0,80.0,10.0,False,10,10,0,0.8672,175.86363220214844,0.8485505324301033,-2.1505382345360604,Complete Transfer,Blowout before,10,132.5
Viscosity_std_398,rLine1000,500.0,80.0,10.0,False,10,10,0,0.8672,119.67971801757812,0.4184540944505486,-3.493059397936206,Complete Transfer,Blowout before,10,132.5
Viscosity_std_398,rLine1000,300.0,80.0,10.0,False,10,10,0,0.8672,96.81710243225098,0.2505508097387416,-3.693569442365576,Complete Transfer,Blowout before,10,132.5
Viscosity_std_398,rLine1000,1000.0,70.0,15.0,False,10,10,0,0.8672,144.13645815849304,0.8379135977915871,-3.377122025877864,Complete Transfer,Blowout before,11,100.95238095238096
Viscosity_std_398,rLine1000,500.0,70.0,15.0,False,10,10,0,0.8672,103.71510052680968,0.4207271928116561,-2.968820846020255,Complete Transfer,Blowout before,11,100.95238095238096
Viscosity_std_398,rLine1000,300.0,70.0,15.0,False,10,10,0,0.8672,87.55200004577637,0.2518622126393807,-3.189493911677144,Complete Transfer,Blowout before,11,100.95238095238096
Viscosity_std_398,rLine1000,1000.0,70.0,20.0,False,10,10,0,0.8672,127.7091383934021,0.8333091164960105,-3.908081584869638,Complete Transfer,Blowout before,12,84.28571428571429
Viscosity_std_398,rLine1000,500.0,70.0,20.0,False,10,10,0,0.8672,95.42095589637756,0.4113725187870984,-5.1262641173666,Complete Transfer,Blowout before,12,84.28571428571429
Viscosity_std_398,rLine1000,300.0,70.0,20.0,False,10,10,0,0.8672,82.70510125160217,0.2475054407805912,-4.864144841408631,Complete Transfer,Blowout before,12,84.28571428571429
Viscosity_std_398,rLine1000,500.0,80.0,15.0,False,10,10,0,0.8672,104.42090320587158,0.4280710490552342,-1.275127062907241,Complete Transfer,Blowout before,13,99.16666666666669
Viscosity_std_398,rLine1000,1000.0,80.0,15.0,False,10,10,0,0.8672,142.52651286125183,0.8518727531117217,-1.7674408312128975,Complete Transfer,Blowout before,13,99.16666666666669
Viscosity_std_398,rLine1000,300.0,80.0,15.0,False,10,10,0,0.8672,87.52599549293518,0.2510607997556568,-3.4975400693200625,Complete Transfer,Blowout before,13,99.16666666666669
Viscosity_std_398,rLine1000,1000.0,90.0,15.0,False,10,10,0,0.8672,141.62543296813965,0.837301609771289,-3.4476926001742383,Complete Transfer,Blowout before,14,97.7777777777778
Viscosity_std_398,rLine1000,500.0,90.0,15.0,False,10,10,0,0.8672,102.39845204353333,0.4223445897224443,-2.5958049533108087,Complete Transfer,Blowout before,14,97.7777777777778
