liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_398,rLine1000,1000.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,74.08213663101196,0.7648538850826572,-11.801904395450046,Incomplete dispense,Blowout before,1,31.03048181533814,None
Viscosity_std_398,rLine1000,500.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,68.6779432296753,0.3730941252317815,-13.954306911489509,Incomplete dispense,Blowout before,1,31.03048181533814,None
Viscosity_std_398,rLine1000,300.0,181.3157424564133,181.3157424564133,False,10,10,0,0.8672,66.58109188079834,0.2193394207035347,-15.690567072749554,Incomplete dispense,Blowout before,1,31.03048181533814,None
Viscosity_std_398,rLine1000,1000.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,72.29193234443665,0.6926830121174937,-20.12419140711557,Incomplete dispense,Blowout before,2,28.82438545227051,None
Viscosity_std_398,rLine1000,500.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,67.76480865478516,0.3678339424858852,-15.1674486886796,Incomplete dispense,Blowout before,2,28.82438545227051,None
Viscosity_std_398,rLine1000,300.0,226.64467807051668,226.64467807051668,False,10,10,0,0.8672,66.34731125831604,0.216993466625725,-16.592302188758822,Incomplete dispense,Blowout before,2,28.82438545227051,None
Viscosity_std_398,rLine1000,1000.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,128.4724202156067,0.7245355314596796,-16.45116104016609,Incomplete dispense,Blowout before,3,79.56460180282595,None
Viscosity_std_398,rLine1000,500.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,93.1635241508484,0.3624717617366059,-16.404113990635167,Incomplete dispense,Blowout before,3,79.56460180282595,None
Viscosity_std_398,rLine1000,300.0,18.13157424564133,226.64467807051668,False,10,10,0,0.8672,81.27132654190063,0.2156092080083839,-17.124381915596572,Incomplete dispense,Blowout before,3,79.56460180282595,None
Viscosity_std_398,rLine1000,1000.0,226.6446775,18.1315742,False,10,10,0,0.8672,123.36037254333496,0.8511296248013597,-1.853133671429924,Complete Transfer,Blowout before,4,79.5646019527637,None
Viscosity_std_398,rLine1000,500.0,226.6446775,18.1315742,False,10,10,0,0.8672,93.03552675247192,0.4233791408996149,-2.3572092021183257,Complete Transfer,Blowout before,4,79.5646019527637,None
Viscosity_std_398,rLine1000,300.0,226.6446775,18.1315742,False,10,10,0,0.8672,81.34816098213196,0.2463688916000375,-5.301010301338569,Complete Transfer,Blowout before,4,79.5646019527637,None
Viscosity_std_398,rLine1000,1000.0,18.1315742,18.1315742,False,10,10,0,0.8672,173.61240339279175,0.8408423976030139,-3.0393914203166554,Complete Transfer,Blowout before,5,130.30481843104388,None
Viscosity_std_398,rLine1000,500.0,18.1315742,18.1315742,False,10,10,0,0.8672,118.57151913642883,0.4295718768192988,-0.9289951985011926,Complete Transfer,Blowout before,5,130.30481843104388,None
Viscosity_std_398,rLine1000,300.0,18.1315742,18.1315742,False,10,10,0,0.8672,96.63664174079896,0.2464854607467609,-5.256203587499604,Complete Transfer,Blowout before,5,130.30481843104388,None
