,Time,Value,Factor,Baseline,Mass
0,2023-02-03 14:50:56.081460,-899306,6.862879436681862,0,-131039.16632911244
1,2023-02-03 14:50:56.084459,-899328,6.862879436681862,0,-131042.37198064734
2,2023-02-03 14:50:56.087460,-899340,6.862879436681862,0,-131044.12051784819
3,2023-02-03 14:50:56.093996,-899323,6.862879436681862,0,-131041.64342348032
4,2023-02-03 14:50:56.097391,-899318,6.862879436681862,0,-131040.9148663133
5,2023-02-03 14:50:56.099454,-899359,6.862879436681862,0,-131046.88903508287
6,2023-02-03 14:50:56.102457,-899166,6.862879436681862,0,-131018.76672843583
7,2023-02-03 14:50:56.106463,-898360,6.862879436681862,0,-130901.32331311195
8,2023-02-03 14:50:56.109434,-897611,6.862879436681862,0,-130792.18544949211
9,2023-02-03 14:50:56.111464,-897055,6.862879436681862,0,-130711.1698925193
10,2023-02-03 14:50:56.113464,-896435,6.862879436681862,0,-130620.82880380862
11,2023-02-03 14:50:56.115680,-895767,6.862879436681862,0,-130523.49356629454
12,2023-02-03 14:50:56.117716,-895111,6.862879436681862,0,-130427.90686598129
13,2023-02-03 14:50:56.119758,-894548,6.862879436681862,0,-130345.87132897465
14,2023-02-03 14:50:56.122683,-893913,6.862879436681862,0,-130253.3445687629
15,2023-02-03 14:50:56.125682,-893263,6.862879436681862,0,-130158.6321370501
16,2023-02-03 14:50:56.126681,-892745,6.862879436681862,0,-130083.15361454665
17,2023-02-03 14:50:56.128682,-892482,6.862879436681862,0,-130044.8315075613
18,2023-02-03 14:50:56.130682,-892453,6.862879436681862,0,-130040.60587599258
19,2023-02-03 14:50:56.131759,-892443,6.862879436681862,0,-130039.14876165854
20,2023-02-03 14:50:56.132764,-892409,6.862879436681862,0,-130034.1945729228
21,2023-02-03 14:50:56.134723,-892371,6.862879436681862,0,-130028.65753845344
22,2023-02-03 14:50:56.135773,-892395,6.862879436681862,0,-130032.15461285514
23,2023-02-03 14:50:56.138687,-892414,6.862879436681862,0,-130034.92313008982
24,2023-02-03 14:50:56.142445,-892406,6.862879436681862,0,-130033.75743862259
25,2023-02-03 14:50:56.146366,-892367,6.862879436681862,0,-130028.07469271982
26,2023-02-03 14:50:56.147365,-892405,6.862879436681862,0,-130033.61172718919
27,2023-02-03 14:50:56.149366,-892436,6.862879436681862,0,-130038.1287816247
28,2023-02-03 14:50:56.150366,-892424,6.862879436681862,0,-130036.38024442387
29,2023-02-03 14:50:56.152366,-892403,6.862879436681862,0,-130033.32030432238
30,2023-02-03 14:50:56.156401,-892475,6.862879436681862,0,-130043.81152752748
31,2023-02-03 14:50:56.158403,-892453,6.862879436681862,0,-130040.60587599258
32,2023-02-03 14:50:56.160403,-892409,6.862879436681862,0,-130034.1945729228
33,2023-02-03 14:50:56.162403,-892350,6.862879436681862,0,-130025.59759835195
34,2023-02-03 14:50:56.164401,-892414,6.862879436681862,0,-130034.92313008982
35,2023-02-03 14:50:56.165401,-892390,6.862879436681862,0,-130031.42605568812
36,2023-02-03 14:50:56.167400,-892401,6.862879436681862,0,-130033.02888145557
37,2023-02-03 14:50:56.168401,-892374,6.862879436681862,0,-130029.09467275365
38,2023-02-03 14:50:56.170401,-892395,6.862879436681862,0,-130032.15461285514
39,2023-02-03 14:50:56.175940,-892408,6.862879436681862,0,-130034.0488614894
40,2023-02-03 14:50:56.177933,-892411,6.862879436681862,0,-130034.48599578961
41,2023-02-03 14:50:56.179942,-892373,6.862879436681862,0,-130028.94896132025
42,2023-02-03 14:50:56.180944,-892381,6.862879436681862,0,-130030.11465278748
43,2023-02-03 14:50:56.182940,-892380,6.862879436681862,0,-130029.96894135408
44,2023-02-03 14:50:56.183940,-892387,6.862879436681862,0,-130030.9889213879
45,2023-02-03 14:50:56.184933,-892386,6.862879436681862,0,-130030.8432099545
46,2023-02-03 14:50:56.188262,-892402,6.862879436681862,0,-130033.17459288897
47,2023-02-03 14:50:56.190314,-892443,6.862879436681862,0,-130039.14876165854
48,2023-02-03 14:50:56.191331,-892371,6.862879436681862,0,-130028.65753845344
49,2023-02-03 14:50:56.193335,-892447,6.862879436681862,0,-130039.73160739215
50,2023-02-03 14:50:56.194330,-892397,6.862879436681862,0,-130032.44603572195
51,2023-02-03 14:50:56.195400,-892432,6.862879436681862,0,-130037.54593589109
52,2023-02-03 14:50:56.197333,-892391,6.862879436681862,0,-130031.57176712152
