liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_check,p1000,1000,175,175,0,2,2,0,TRUE,FALSE,0.8181,21.46464586,20.1876,21.0067,0.8191,0.122234446,3.320:Within tolerance of 1000uL,
Viscosity_std_check,p1000,500,175,175,0,2,2,0,TRUE,FALSE,0.8181,14.40990472,21.0067,21.4211,0.4144,1.307908569,3.320:Within tolerance of 500uL,
Viscosity_std_check,p1000,300,175,175,0,2,2,0,TRUE,FALSE,0.8181,12.132833,21.4211,21.6651,0.244,-0.582650858,3.320:Within tolerance of 300uL,
Viscosity_std_check,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,0.847,19.65514016,21.1742,22.0307,0.8565,1.121605667,28:Within tolerance of 1000uL,
Viscosity_std_check,p1000,500,155,155,0,2,0,0,TRUE,FALSE,0.847,13.24742079,22.0307,22.4531,0.4224,-0.25974026,28:Within tolerance of 500uL,
Viscosity_std_check,p1000,1000,120,120,0,5,1,0,TRUE,FALSE,0.8578,28.69678855,20.7427,21.52,0.7773,-9.384471905,99:incomplete aspiration,
Viscosity_std_check,p1000,1000,120,120,0,5,1,0,TRUE,FALSE,0.8578,27.37441444,21.52,22.3849,0.8649,0.827698764,99:Within tolerance of 1000uL,
Viscosity_std_check,p1000,500,155,155,5,2,0,0,TRUE,FALSE,0.8578,40.42509055,22.3849,22.8745,0.4896,14.1524831,99:error,
Viscosity_std_check,p1000,500,155,155,0,2,0,0,TRUE,FALSE,0.8578,13.98079586,22.8745,23.2644,0.3899,-9.093028678,99:error,
Viscosity_std_check,p1000,1000,120,120,0,5,1,0,TRUE,FALSE,0.8578,27.47818446,23.2644,24.1109,0.8465,-1.317323385,99:within tolerance of 1000uL,
Viscosity_std_check,p1000,500,120,120,0,5,1,0,TRUE,FALSE,0.8578,19.16662621,24.1109,24.5396,0.4287,-0.046630916,99:within tolerance of 500uL,
Viscosity_std_check,p1000,1000,70,70,5,0.5,0,0,TRUE,FALSE,0.8639,62.65871143,23.0934,23.8909,0.7975,-7.686074777,204:incomplete aspiration,
Viscosity_std_check,p1000,1000,70,70,5,3,1,0,TRUE,FALSE,0.8639,65.64303756,23.8909,24.7817,0.8908,3.113786318,204:excess aspiration,
Viscosity_std_check,p1000,1000,70,70,5,2,1,0,TRUE,FALSE,0.8639,64.6796658,24.7817,25.6707,0.889,2.905428869,,
Viscosity_std_check,p1000,1000,70,70,5,0.5,1,0,TRUE,FALSE,0.8639,63.18473482,25.6707,26.5454,0.8747,1.250144693,204:within tolerance of 1000uL,
Viscosity_std_check,p1000,500,70,70,5,0.5,1,0,TRUE,FALSE,0.8639,48.89866519,26.5454,27.0205,0.4751,9.989582128,,
Viscosity_std_check,p1000,500,70,70,5,0.5,1,0,TRUE,FALSE,0.8639,48.92719626,27.0205,27.4694,0.4489,3.924065285,,
Viscosity_std_check,p1000,500,70,70,5,0.5,1,0,TRUE,FALSE,0.8639,48.93682027,27.4694,27.9179,0.4485,3.831461975,,
Viscosity_std_check,p1000,500,70,70,5,0.25,1,0,TRUE,FALSE,0.8639,48.71206212,27.9179,28.3525,0.4346,0.613496933,204:within tolerance of 500uL,
Viscosity_std_check,p1000,1000,70,70,5,0.25,1,0,TRUE,FALSE,0.8639,63.04708505,28.3525,29.1944,0.8419,-2.546591041,204,
Viscosity_std_check,p1000,1000,41,43,5,4,2.5,0,TRUE,FALSE,0.8683,88.24111557,21.1131,21.8748,0.7617,-12.27686284,505:incomplete aspiration,
Viscosity_std_check,p1000,1000,43,43,5,4,3,0,TRUE,FALSE,0.8683,86.71981311,21.8748,22.73,0.8552,-1.508695151,505:within tolerance of 1000uL,
Viscosity_std_check,p1000,500,43,43,5,4,3,0,TRUE,FALSE,0.8683,63.45052671,22.73,23.2037,0.4737,9.109754693,,
Viscosity_std_check,p1000,500,41,43,5,4,3,0,TRUE,FALSE,0.8683,64.14142871,23.2037,23.6615,0.4578,5.447426005,,
Viscosity_std_check,p1000,500,41,43,5,4,2.5,0,TRUE,FALSE,0.8683,63.68113041,23.6615,24.1162,0.4547,4.733387078,,
Viscosity_std_check,p1000,1000,9,3,0,3,3,0,TRUE,FALSE,0.8736,496.4085858,25.3827,26.2268,0.8441,-3.376831502,,
Viscosity_std_check,p1000,1000,8.5,3,0,3,3,0,TRUE,FALSE,0.8736,501.5697112,26.2268,27.0982,0.8714,-0.251831502,,
Viscosity_std_check,p1000,500,8.5,3,0,3,3,0,TRUE,FALSE,0.8736,258.3328183,27.0982,27.5341,0.4359,-0.206043956,1275:within tolerance of 1000uL and 500uL,
Viscosity_std_check,p1000,1000,3.75,3.5,5,6,5,0,TRUE,FALSE,0.8802,638.4516494,26.3494,27.0879,0.7385,-16.09861395,4801:incomplete aspiration,
Viscosity_std_check,p1000,1000,3.5,3.5,5,6,5,0,TRUE,FALSE,0.8802,677.6832418,27.0879,27.967,0.8791,-0.124971597,4801:within tolerance of 1000uL and 500uL,
Viscosity_std_check,p1000,1000,3,3,5,5,3,0,TRUE,FALSE,0.8819,780.5803978,27.2841,28.0345,0.7504,-14.91098764,5882:incomplete aspiration,
Viscosity_std_check,p1000,1000,2.5,3,5,5,3,0,TRUE,FALSE,0.8819,854.4855173,28.0345,28.9108,0.8763,-0.63499263,5882:within tolerance of 1000uL,
Viscosity_std_check,p1000,500,2.5,3,5,5,3,0,TRUE,FALSE,0.8819,453.1337659,28.9108,29.351,0.4402,-0.170087311,5882:within tolerance of 500uL,
Viscosity_std_check,p1000,1000,2.1,3,5,5,3,0,TRUE,FALSE,0.8726,966.7609794,23.8297,24.5932,0.7635,-12.502865,,
Viscosity_std_check,p1000,1000,175,175,0,2,2,0,TRUE,FALSE,0.8181,20.36024237,22.4448,23.2569,0.8121,-0.733406674,3:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,175,175,0,2,2,0,TRUE,FALSE,0.8181,20.3674252,23.2569,24.0708,0.8139,-0.513384672,3:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,175,175,0,2,2,0,TRUE,FALSE,0.8181,20.37819076,24.0708,24.8853,0.8145,-0.440044004,3:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,0.847,19.84908223,23.2494,24.0931,0.8437,-0.38961039,28:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,0.847,19.89985013,24.0931,24.9365,0.8434,-0.425029516,28:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,0.847,19.94921517,24.9365,25.7805,0.844,-0.354191263,28:Within tolerance of 1000uL,
Viscosity_std_check,p1000,500,155,155,0,2,0,0,TRUE,FALSE,0.847,13.51652241,25.7805,26.2021,0.4216,-0.448642267,28:Within tolerance of 500uL,
Viscosity_std_check,p1000,1000,41,43,5,4,2.5,0,TRUE,FALSE,0.8683,87.72304201,21.9348,22.7912,0.8564,-1.370494069,505:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,41,43,5,4,2.5,0,TRUE,FALSE,0.8683,87.76346612,22.7912,23.6524,0.8612,-0.817689739,505:Within tolerance of 1000uL,
Viscosity_std_check,p1000,1000,2.5,3,5,5,3,0,TRUE,FALSE,0.8819,854.4653029,23.5466,24.3984,0.8518,-3.413085384,5882:incomplete aspiration,
Viscosity_std_check,p1000,1000,2.5,3,5,6,3,0,TRUE,FALSE,0.8819,855.5326295,24.3984,25.2494,0.851,-3.503798617,5882:incomplete aspiration,
Viscosity_std_check,p1000,1000,2.4,3,5,6,3,0,TRUE,FALSE,0.8819,855.5178583,25.2494,26.0983,0.8489,-3.741920853,5882:incomplete aspiration,
Viscosity_std_check,p1000,1000,9,3,0,3,3,0,TRUE,FALSE,0.8736,496.5128384,27.5339,28.3693,0.8354,-4.372710623,1275:incomplete aspiration,
Viscosity_std_check,p1000,1000,8.5,3,0,3,3,0,TRUE,FALSE,0.8736,501.6332483,28.3693,29.2266,0.8573,-1.865842491,1275:Within tolerance of 1000uL,
