liquid,Viscosity 10 s-1,Viscosity 100 s-1,Viscosity 900  s-1,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,density,time
BPAEDMA_540,599.526,595.608,586.889,1000,20,4,0,3,3,3,1.12,338.6360095
PEO_100k_0.05_DMF,11.862,11.954,12.014,1000,274.7,274.7,0,0,0,0,0.93,12.90079761
PEO_2000k_0.025_DMF,168.359,154.386,97.686,1000,60,15,0,0,0,0,0.93,92.15089202
PEO_300k_0.05_DMF,278.876,265.214,194.546,1000,70,20,0,3,3,0,0.93,77.42473936
PEO_5000k_0.015_DMF,27.805,27.21,24.427,1000,250,31.25,0,0,0,0,0.93,41.99793577
PEO_600k_0.05_DMF,392.059,370.336,250.445,1000,60,18,0,3,3,0,0.93,84.92421103
PEO_8000k_0.015_DMF,19.622,18.343,17.615,1000,250,31.25,0,0,0,0,0.93,41.93289399
PEO_900k_0.05_DMF,349.388,330.777,226.987,1000,60,18,0,3,3,0,0.93,84.91922665
Viscosity_std_817,817,817,817,1000,20,8,0,5,5,0,0.8466,196.7206373
Viscosity_std_9884,9884,9884,9884,1000,2,0.5,2,3,3,3,0.8844,2842.274222
Viscosity_std_5882,5882,5882,5882,1000,2.5,3,5,5,3,0,0.8819,854.6409943
Viscosity_std_4801,4801,4801,4801,1000,3.75,3.5,5,6,5,0,0.8802,637.7252152
Viscosity_std_6695,6695,6695,6695,1000,2.1,3,5,5,3,0,0.8726,966.2887158
Viscosity_std_7782,7782,7782,7782,1000,1.35,3,5,5,5,0,0.8826,1527.40715
Viscosity_std_1275,1275,1275,1275,1000,8.5,3,0,3,3,0,0.8736,501.70871
Viscosity_std_99.88,99.85,99.85,99.85,1000,120,120,0,5,1,0,0.8578,27.47818446
Viscosity_std_204.8,204.8,204.8,204.8,1000,70,70,5,0.25,1,0,0.8639,63.04708505
Viscosity_std_398.4,398.4,398.4,398.4,1000,53,53,5,2.83,3,0,0.8672,76.63440681
Viscosity_std_28.53,28.53,28.53,28.53,1000,155,155,0,2,0,0,0.847,19.94921517
Viscosity_std_3.320,3.32,3.32,3.32,1000,175,175,0,2,2,0,0.8181,20.37819076
