liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.6,1.3,0,3,3,0,True,False,1558.317389,-4.446481779,0.8338,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,3.0,3.0,5,5,3,0,True,False,778.9820256,-4.354801742,0.8346,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,3.0,3.0,5,7,3,0,True,False,782.423382,-18.2557873,0.7133,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.5,3.0,5,7,3,0,True,False,856.225987,-3.9995416,0.8377,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.5,3.0,5,12,3,0,True,False,861.2799916,-3.506761403,0.842,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.0,3.0,5,12,3,0,True,False,973.0924819,-0.97410039,0.8641,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.3,3.0,5,12,3,0,True,False,861.3523765,-3.334861334,0.8435,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,1000,2.1,3.0,5,12,3,0,True,False,973.1560266,-1.78e-13,0.8726,0.8726
Viscosity_std_6695,6695,6695,6695,p1000,500,2.1,3.0,5,12,3,0,True,False,517.0574007,0.641760257,0.4391,0.4363
Viscosity_std_6695,6695,6695,6695,p1000,500,2.1,3.0,5,10,3,0,True,False,515.1192379,-1.764840706,0.4286,0.4363
Viscosity_std_6695,6695,6695,6695,p1000,500,2.1,3.0,5,10,3,0,True,False,515.1174819,-2.062800825,0.4273,0.4363
Viscosity_std_6695,6695,6695,6695,p1000,500,2.1,3.0,5,12,3,0,True,False,517.1239636,-0.045840018,0.4361,0.4363
Viscosity_std_6695,6695,6695,6695,p1000,500,2.1,3.0,5,10,3,0,True,False,515.1534612,1.168920468,0.4414,0.4363
Viscosity_std_6695,6695,6695,6695,p1000,300,2.1,3.0,5,10,3,0,True,False,333.3473635,5.69944228,0.2767,0.26178
Viscosity_std_6695,6695,6695,6695,p1000,300,2.1,3.0,5,7,3,0,True,False,330.3436201,2.185040874,0.2675,0.26178
Viscosity_std_6695,6695,6695,6695,p1000,300,2.1,3.0,5,5,3,0,True,False,328.3435345,0.427840171,0.2629,0.26178
Viscosity_std_6695,6695,6695,6695,p1000,300,2.1,3.0,5,5,3,0,True,False,328.3591642,1.153640461,0.2648,0.26178
