,liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
0,Viscosity_std_204,rLine1000,300,169.0,169.0,10,10,1,48.46512316516749,0.8639,61.72981905937195,0.23104004880590223,-10.853860861248515,31.83431952662722,
1,Viscosity_std_204,rLine1000,500,169.0,169.0,10,10,1,47.63197558275747,0.8639,64.10976195335388,0.3598780982220089,-16.685241758997826,31.83431952662722,
2,Viscosity_std_204,rLine1000,1000,169.0,169.0,10,10,1,45.98649392746641,0.8639,69.9709255695343,0.7107658010029707,-17.72591723544731,31.83431952662722,
3,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",169.0,169.0,10,10,1,45.98649392746641,0.8639,NaN,NaN,-15.088339951897884,31.83431952662722,
4,Viscosity_std_204,rLine1000,300,211.25,211.25,10,10,2,45.42938678018722,0.8639,60.99786400794983,0.24064243226724738,-7.148808786801185,29.467455621301774,
5,Viscosity_std_204,rLine1000,500,211.25,211.25,10,10,2,44.63766381641837,0.8639,62.95160675048828,0.34198473419995734,-20.827703623114402,29.467455621301774,
6,Viscosity_std_204,rLine1000,1000,211.25,211.25,10,10,2,43.08211541299812,0.8639,67.8441321849823,0.6719191328573769,-22.222579828987506,29.467455621301774,
7,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",211.25,211.25,10,10,2,43.08211541299812,0.8639,NaN,NaN,-16.73303074630103,29.467455621301774,
8,Viscosity_std_204,rLine1000,300,211.25,16.900000000000002,10,10,3,42.501732217785374,0.8639,77.63726568222046,0.250696521172146,-3.269467464542187,83.90532544378698,
9,Viscosity_std_204,rLine1000,500,211.25,16.900000000000002,10,10,3,41.55183332827676,0.8639,90.3033812046051,0.41030882532324675,-5.010111049138384,83.90532544378698,
10,Viscosity_std_204,rLine1000,1000,211.25,16.900000000000002,10,10,3,39.56857911072675,0.8639,122.48528003692627,0.8566666592707242,-0.8372891224998078,83.90532544378698,
11,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",211.25,16.900000000000002,10,10,3,39.56857911072675,0.8639,NaN,NaN,-3.0389558787267927,83.90532544378698,
12,Viscosity_std_204,rLine1000,300,16.900000000000002,211.25,10,10,4,39.111187902131014,0.8639,77.87502312660217,0.19757013255292813,-23.768131900710685,83.90532544378698,
13,Viscosity_std_204,rLine1000,500,16.900000000000002,211.25,10,10,4,38.343786721782585,0.8639,90.64728999137878,0.33147893985150534,-23.25988196515677,83.90532544378698,
14,Viscosity_std_204,rLine1000,1000,16.900000000000002,211.25,10,10,4,36.79505246572839,0.8639,122.67844080924988,0.6689757619026095,-22.56328719729025,83.90532544378698,
15,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",16.900000000000002,211.25,10,10,4,36.79505246572839,0.8639,NaN,NaN,-23.1971003543859,83.90532544378698,
16,Viscosity_std_204,rLine1000,300,16.900000000000002,16.900000000000002,10,10,5,36.215782472808115,0.8639,94.4450433254242,0.25021567344191176,-3.4550011799545683,138.34319526627218,
17,Viscosity_std_204,rLine1000,500,16.900000000000002,16.900000000000002,10,10,5,35.194200102344716,0.8639,118.06804490089417,0.4412725049216665,2.1582370463401954,138.34319526627218,
18,Viscosity_std_204,rLine1000,1000,16.900000000000002,16.900000000000002,10,10,5,33.22329231022034,0.8639,177.28728985786438,0.8513336208081258,-1.4546103937810162,138.34319526627218,
19,Viscosity_std_204,rLine1000,"mean[300, 500, 1000]",16.900000000000002,16.900000000000002,10,10,5,33.22329231022034,0.8639,NaN,NaN,-2.35594954002526,138.34319526627218,
