liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,64.30989532718331,0.0,0.8938973562912839,3.2578536659505,0.0,1.0,0.0,39.8267,-10.424354243542428,0.7768,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,35.2295,-24.72324723247232,0.6528,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,63.89128796763073,65.42587146585738,0.0,5.664856376771807,0.3083559764142586,0.0,1.0,0.0,41.8148,-10.309040590405896,0.7778,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.28054421062643,65.13991617929211,0.0,3.2301882366095693,0.2198105759428779,0.0,1.0,0.0,39.0338,-13.307195571955711,0.7518,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.81506720548285,64.12518511010344,0.0,3.254769422228792,0.2016102503209725,0.0,1.0,0.0,39.2672,-13.076568265682653,0.7538,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,6.0,0.0,0.0,1.0,0.0,41.3509,-11.958025830258306,0.7635,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,6.0,0.0,0.0,1.0,0.0,41.3964,-11.761992619926197,0.7652,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,6.0,0.0,0.0,1.0,0.0,41.4139,-11.842712177121772,0.7645,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,0.0,3.800512716096756,0.0,1.0,0.0,39.2561,-11.958025830258306,0.7635,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,66.0,66.0,0.0,6.0,0.0,0.0,1.0,0.0,41.4707,-11.71586715867159,0.7656,0.8672,1.0
